,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,calibrator,dataset,seed,design,classifier
0,0.14421188026701112,0.15041623273464702,0.1481385290926939,0.1508404950269095,0.14758098832470606,0.14327790050625605,0.14051162942101628,0.13996196645744077,0.13883080835283226,0.13888967003106645,0.1380674540726484,0.1387240455949089,0.1378237149642737,0.13871944774591052,0.13743420938705958,0.13819155149089515,0.13917162748057726,0.13756897205993923,0.13639744283519808,base,bank,100,0,rf
1,0.14228914701260778,0.14847773085142485,0.14648966331955338,0.15012828357671484,0.1471967408979966,0.1429182513076007,0.1402751848738997,0.13979401747453404,0.1385342995091728,0.13837032358569196,0.13757702696007904,0.13814961876386678,0.13684885773279765,0.1377771972108836,0.13648394019937185,0.1371829304200919,0.1380485618417974,0.13645740236574788,0.1353282205003718,platt_const,bank,100,0,rf
2,0.14191077516025857,0.14868194899221346,0.14627812971801107,0.14932252565595527,0.14632461243028747,0.1419941313376274,0.13943548423261773,0.13880960543096083,0.13783315144750008,0.13769403850552886,0.13696854860998203,0.1376306290106254,0.13652897441163153,0.13751372726476258,0.13630393087218085,0.13706816549626402,0.13792816979826494,0.13642761579660326,0.1353758045059165,platt_windowed,bank,100,0,rf
3,0.1419660068073587,0.1481946742290085,0.14652070572681947,0.14959562961798212,0.1464950948709391,0.14220145363827813,0.13927914332708957,0.13853865865517326,0.1374217975973078,0.1373847637464408,0.1367258934903326,0.13737013527390224,0.1360392971884856,0.1369441703743008,0.1357122543872263,0.1364912524662893,0.13749522460334382,0.13608795895290113,0.1350576099873213,platt_continuous,bank,100,0,rf
4,0.14149456273888705,0.14795030351004126,0.14575870105254723,0.14848102830626114,0.14546239359891364,0.14102224261003907,0.1380850633398415,0.13759942622576435,0.13640752487194313,0.136352370087567,0.13577886617634854,0.13634313110543103,0.13502905440860208,0.13600391647122897,0.13480643535645379,0.13561188328329735,0.13667668192326235,0.13530132363578024,0.134268734117053,platt_continuous_beat,bank,100,0,rf
5,0.1410676878818263,0.1467092588085328,0.14517822641178116,0.14823608584970194,0.14535101829036157,0.14092637574818978,0.1379024092316528,0.13735165213725659,0.13623235021582997,0.13620953998972113,0.13553093954583598,0.13624987814520834,0.1349869417459775,0.13596718604595862,0.13477602061598887,0.13558863556664422,0.13666280370858935,0.1352973810056505,0.13426680884713915,platt_continuous_calibeat,bank,100,0,rf
6,0.1442724104137094,0.15012243555512125,0.1480373118545828,0.15086947146217922,0.14755253213376113,0.143257687979179,0.14054226573461753,0.13993047197537226,0.13868494363752445,0.13870015751464776,0.13790829067684165,0.13861729162888017,0.13774589311803515,0.13855270647374407,0.13732328110149197,0.13806694843928505,0.13905406884943225,0.1374710124239926,0.1363414536097677,protected,bank,100,0,rf
7,0.1426159101707482,0.1472650380055143,0.14555621271642727,0.1487590082306238,0.14583274209763594,0.14130044627327332,0.1385766681072667,0.1379859908103645,0.13699965874057754,0.13684243579550787,0.13604227957191667,0.13675507651231752,0.13577800969707246,0.13671592845351133,0.13550353492095166,0.13616283676845947,0.13715202752029712,0.1357005262668572,0.13469394001120918,va_protected,bank,100,0,rf
8,0.14387807290243967,0.14934326819294136,0.1475272844882655,0.15018561987418674,0.14676299846127763,0.14234197705797022,0.13976774496505448,0.13928424781903076,0.13807004511802853,0.13815922505009873,0.1373363585665002,0.13807232828327212,0.13720873886666413,0.1380266861467008,0.1367332111273417,0.1374611538444361,0.13841820363208004,0.13679296342019395,0.13564917880415334,protected_va,bank,100,0,rf
9,0.14168695100946468,0.14802092240573755,0.1458587264764036,0.14849750715040066,0.14547500623796622,0.14103083195978025,0.13809968466036646,0.13761780573660662,0.1364279617856546,0.13638005937087788,0.13580160563301502,0.13636555031278508,0.13502202557163479,0.13599499401511966,0.13479736782548035,0.1356038156733716,0.1366681948372961,0.13529438591465462,0.13426186603530965,protected_beat,bank,100,0,rf
