,0,1,2,3,4,5,6,7,8,9,10,calibrator,dataset,seed,design,classifier
0,0.1945,0.17944790066564262,0.1848759920634921,0.17588208180708179,0.17365752727945935,0.17295387813354435,0.17740930540382294,0.18835195486012987,0.18509020376551943,0.1881522657604314,0.18358350031909879,base,fetal,100,0,rf
1,0.19695238095238096,0.18367490696438066,0.18856763285024156,0.17803510299007325,0.1752743048234179,0.1741232574571263,0.17813438483051677,0.18913737354829135,0.18567023525357632,0.18862205813862168,0.183374344613466,platt_const,fetal,100,0,rf
2,0.1950354609929078,0.183052311071179,0.18904435688866295,0.17860098141660008,0.17585880182529479,0.17462618774620328,0.1784315696871408,0.18915978958380433,0.18561134135693982,0.18853119692074627,0.1833267759019598,platt_windowed,fetal,100,0,rf
3,0.19459101654846336,0.18058528951486696,0.1881959201830198,0.17945663637947024,0.17636311429210702,0.17487114853377678,0.17826595438076417,0.18824608837396795,0.18419570267379362,0.18730145264475745,0.18221461693617153,platt_continuous,fetal,100,0,rf
4,0.18887024608501118,0.1812135131338671,0.1875859950859951,0.17545894238358328,0.17401756173933597,0.17232758841360324,0.1777711155036506,0.18772280575243716,0.18358249940271934,0.1867465168157768,0.1818896474943019,platt_continuous_beat,fetal,100,0,rf
5,0.18869646799116996,0.18346846191169333,0.1851813164760185,0.17596289308176102,0.17014937907883454,0.16761644490107536,0.17245911393648775,0.1824869377623074,0.1790399852075662,0.1829724741399332,0.17743655373333778,platt_continuous_calibeat,fetal,100,0,rf
6,0.19447916666666668,0.18057638888888888,0.18540172069532537,0.1780719603495919,0.1753164080486729,0.17384890211050114,0.1779347594819086,0.18818165614717342,0.1847591649865293,0.1877828430706106,0.18313887239212107,protected,fetal,100,0,rf
7,0.18715384615384614,0.18106162843004947,0.18595571095571095,0.17652032085561495,0.17470823804698044,0.172830744460085,0.17674041333468415,0.18678248591075683,0.1829989439905122,0.18572169636426875,0.18093094847716398,va_protected,fetal,100,0,rf
8,0.1882574661845453,0.17847132128236176,0.1836408093914118,0.17537310067580075,0.17348796464782776,0.17234898030087556,0.17680024860702676,0.18730318854278455,0.18375936536992976,0.18613670718928316,0.18081063866193248,protected_va,fetal,100,0,rf
9,0.18887024608501118,0.18208652900688296,0.18741554054054052,0.1763589423835833,0.1749180247022989,0.17288826058456955,0.17821960563688338,0.18864915902879043,0.18429620258126125,0.18734258141184137,0.18240591045703639,protected_beat,fetal,100,0,rf
10,0.18835583822570123,0.1816620249017038,0.18601814851814852,0.1756096980976013,0.17340705561184286,0.17261344294802944,0.17821106462972566,0.18804492247925592,0.1838381014843028,0.18707204052522583,0.1821756849072701,platt_va,fetal,100,0,rf
0,0.20425825396825395,0.19595766488413546,0.18799402691184,0.18207429179008125,0.17643599663553491,0.1763686342288656,0.1800615833158238,0.17548276476045624,0.17030103575317762,0.17593054891024146,0.17633255813732557,base,fetal,101,0,rf
1,0.2089137261619276,0.19600027750027751,0.18921337141142644,0.18327776942355892,0.17638097854553175,0.17656405840304348,0.18061353817117798,0.1761755872261224,0.17097517624469072,0.17718717283480462,0.17783065967454123,platt_const,fetal,101,0,rf
2,0.20700204600752048,0.19777741288086118,0.19350453530305728,0.18522887619552045,0.17714234713313182,0.17688889085259135,0.18096755286881336,0.177079336067707,0.17184804627188635,0.17774249942528714,0.17776534548910605,platt_windowed,fetal,101,0,rf
3,0.2060875420875421,0.19863999447208402,0.1909248127340824,0.1849924922507012,0.1763302300298268,0.17636591421748962,0.1795929758630333,0.17528855084130693,0.16974896251851604,0.17596476806549236,0.17631514605373846,platt_continuous,fetal,101,0,rf
4,0.19652570921985815,0.19123024088862597,0.1848216171083818,0.18098266025562043,0.1741800864179692,0.1739637706560879,0.1772417266950644,0.17321330638670013,0.16831544369675874,0.17453647130706837,0.17484224096969686,platt_continuous_beat,fetal,101,0,rf
5,0.19575676982591875,0.18252469135802468,0.1759312333428672,0.17006320346320344,0.16554635791498576,0.16710734597536214,0.17157057028392522,0.16688669481009188,0.16244959547167406,0.16900561917001045,0.16941286932828817,platt_continuous_calibeat,fetal,101,0,rf
6,0.20439349718381977,0.19531050132663036,0.1878991265872071,0.18431850005377837,0.17727158770555804,0.17716372189335444,0.18042913242960804,0.17607902253239405,0.17059268740642444,0.17659804696098655,0.17711106191359982,protected,fetal,101,0,rf
7,0.2014578754578755,0.19335931977379345,0.18566249140732405,0.17987416673868578,0.1741844414066376,0.1742524476707077,0.17779704642610977,0.17280638021188288,0.16830527229770204,0.1756709804409398,0.17601513253692833,va_protected,fetal,101,0,rf
8,0.2000477580048476,0.19339427941152082,0.1857123819163293,0.18151946423782703,0.17490996074361362,0.1751029516499009,0.17839052965393173,0.17414769823721743,0.16875393617836396,0.17524966020387966,0.175758255968576,protected_va,fetal,101,0,rf
9,0.19539101575882153,0.19152814908668567,0.1845766748587791,0.18065629343079043,0.17432134078218414,0.17406099938042008,0.17733648704078028,0.17334235550532645,0.16839224173861675,0.1742634203474981,0.17448827472970044,protected_beat,fetal,101,0,rf
10,0.199036800486618,0.1944055829228243,0.18949623089632384,0.1838051182708259,0.17642113339335563,0.17583887706923762,0.1785779703020557,0.17455629263031766,0.1692592786904978,0.17517664662478905,0.17539083153558588,platt_va,fetal,101,0,rf
0,0.21740384615384617,0.18511630465051518,0.16675248189392033,0.16437213301173598,0.17444202877303694,0.16618043672586244,0.16796094559445598,0.16987813615654343,0.17156577874849438,0.1680692052720726,0.16685619707628815,base,fetal,102,0,rf
1,0.22486695256615044,0.1861741752256458,0.16975124616124618,0.16951088746128415,0.17728018725758085,0.16820639725500472,0.17045007819981323,0.1716664798080229,0.17351262771055537,0.16971735213757855,0.16770789136497938,platt_const,fetal,102,0,rf
2,0.224904492646537,0.1886441543090479,0.1680587803001596,0.1654215029552491,0.17493769421208746,0.1665039604113023,0.16849217005123415,0.1704099208539892,0.17234802566213606,0.16851290422354082,0.16675538913741164,platt_windowed,fetal,102,0,rf
3,0.226260773526715,0.18694795444795445,0.16872608286813542,0.16501750884659003,0.17383862919751225,0.16556959305655997,0.16734837701549657,0.16903608702403736,0.1709274530697266,0.16770890188475002,0.1658551947264978,platt_continuous,fetal,102,0,rf
4,0.22454392764857883,0.18446114263095395,0.165119418707654,0.16299527647612455,0.1709816426249405,0.16303317567632922,0.16592740741781664,0.16748872173213775,0.16922864239794946,0.1657589371118793,0.16459744144967653,platt_continuous_beat,fetal,102,0,rf
5,0.2126550387596899,0.17617452140794976,0.1595847206367326,0.1586608867129063,0.16694599847541763,0.1596711717382383,0.162329585778485,0.16297628364918382,0.164646889661627,0.1615711973506873,0.16062200422602474,platt_continuous_calibeat,fetal,102,0,rf
6,0.2232737662337662,0.18824333169693994,0.17031584314808002,0.1684317909214968,0.17568421238135395,0.1670217284282134,0.1696519422254604,0.17134745097478457,0.17291641665835733,0.16844192038478178,0.16611628097510617,protected,fetal,102,0,rf
7,0.21938912057313817,0.18420214208449504,0.16427170255758777,0.1636098318927188,0.17196379292457722,0.1643201785497199,0.16664500303157703,0.16798851121389366,0.1706379778322034,0.16675194703757504,0.1650702445169774,va_protected,fetal,102,0,rf
8,0.22308765395894434,0.1862992521494121,0.16765589614336107,0.16687454769368562,0.17400633146793926,0.165546015140957,0.16831416278813927,0.16995645151358846,0.17166527760925482,0.16749717681648962,0.16483572783238196,protected_va,fetal,102,0,rf
9,0.22454392764857883,0.18512780929762063,0.16452352017195768,0.16187108300084474,0.16996428051290421,0.16220602507881812,0.16542773549576972,0.166907807984174,0.16884820845696608,0.16546888010145286,0.1636727901555327,protected_beat,fetal,102,0,rf
